geo_code,target_year,scenario,reference_year,current_score,projected_score,score_change,movement_direction,movement_magnitude_label,outlook_movement_rank,trend_series_count,backtested_count,linear_beats_naive_count,beats_naive_share,mean_abs_slope_per_decade,mean_residual_std,diagnostic_quality_label,projection_fragility_label,fragility_rank,display_recommendation,caveat
KI,2030,capacity_gradual_improvement,,31.0979,62.2555,31.1576,widening,large,13,4,4,1,0.25,0.29269172499999996,3.11851124,mixed,caveated,21,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
MH,2030,capacity_gradual_improvement,,65.9545,10.9207,-55.0338,narrowing,large,2,4,4,2,0.5,0.1333626775,1.7300930975000002,mixed,caveated,14,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
MP,2030,capacity_gradual_improvement,,51.1209,38.0117,-13.1092,narrowing,moderate,42,4,4,1,0.25,0.021234585,1.7885730549999999,mixed,caveated,39,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
NC,2030,capacity_gradual_improvement,,12.7219,17.0025,4.2806,little_change,limited,77,4,4,2,0.5,0.18208732,2.49975427,mixed,caveated,54,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
NR,2030,capacity_gradual_improvement,,88.9403,100.0,11.0597,widening,moderate,51,4,4,3,0.75,0.2760398075,4.3341835775,supported,lower,67,show,stress-test interpretation; not a forecast; diagnostics support cautious display
NU,2030,capacity_gradual_improvement,,63.2479,78.3175,15.0696,widening,large,35,4,4,2,0.5,0.2851117275,1.8154965125,mixed,caveated,35,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
PF,2030,capacity_gradual_improvement,,0.0,0.0,0.0,little_change,limited,88,4,4,2,0.5,0.2094138925,1.2850142875000001,mixed,caveated,61,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
PG,2030,capacity_gradual_improvement,,23.5272,4.504,-19.0232,narrowing,large,27,4,4,0,0.0,0.1887682375,1.6164340325,weak,fragile,12,withhold,stress-test interpretation; not a forecast; withhold because weak diagnostics do not support display; fragile projection
PN,2030,capacity_gradual_improvement,,100.0,67.0837,-32.9163,narrowing,large,9,2,2,0,0.0,0.6871575449999999,3.0288751449999998,weak,fragile,2,withhold,stress-test interpretation; not a forecast; withhold because weak diagnostics do not support display; fragile projection
PW,2030,capacity_gradual_improvement,,62.6435,41.1721,-21.4714,narrowing,large,25,4,4,0,0.0,0.28289728249999996,2.1510071175000003,weak,fragile,10,withhold,stress-test interpretation; not a forecast; withhold because weak diagnostics do not support display; fragile projection
SB,2030,capacity_gradual_improvement,,58.0643,51.4054,-6.6589,narrowing,moderate,70,4,4,1,0.25,0.32742450500000003,1.7954870175,mixed,caveated,52,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
TK,2030,capacity_gradual_improvement,,55.7364,68.9229,13.1865,widening,moderate,41,4,4,3,0.75,0.4795940325,2.6657573075,supported,lower,64,show,stress-test interpretation; not a forecast; diagnostics support cautious display
TO,2030,capacity_gradual_improvement,,26.249,31.0718,4.8228,little_change,limited,75,4,4,3,0.75,0.2469607075,2.1185195275,supported,lower,83,show,stress-test interpretation; not a forecast; diagnostics support cautious display
