geo_code,dataset_slug,dataset_name,n_obs,first_year,last_year,slope_per_year,slope_per_decade,residual_std,holdout_linear_mae,holdout_naive_mae,backtest_beats_naive,projected_2030,projected_2050
NC,mean-surface-temperature-anomalies,Mean surface temperature anomalies,176,1850,2025,-0.00122188,-0.0122188,0.28683822,0.23542993,0.56666667,True,0.3062943,0.2818567
NC,rainfall-anomalies,Rainfall anomalies,47,1979,2025,-0.06615402,-0.66154024,9.39972748,1.91491191,6.36666667,True,9.20300648,7.87992599
NC,sea-level-anomalies,Sea level anomalies,31,1993,2023,0.00431452,0.04314516,0.03282873,0.01327313,0.0,False,0.14330645,0.22959677
NR,mean-sea-surface-temperature-anomalies,Mean sea surface temperature anomalies,176,1850,2025,0.00101739,0.01017389,0.2858354,0.3193542,0.46666667,True,0.46456306,0.48491085
NR,mean-surface-temperature-anomalies,Mean surface temperature anomalies,176,1850,2025,0.0012079,0.01207902,0.29592158,0.34183775,0.5,True,0.49866278,0.52282082
NR,rainfall-anomalies,Rainfall anomalies,47,1979,2025,0.10452128,1.04521277,16.71629959,15.49707071,25.86666667,True,28.57978723,30.67021277
NR,sea-level-anomalies,Sea level anomalies,31,1993,2023,0.00366935,0.03669355,0.03867774,0.00938697,0.0,False,0.13556452,0.20895161
NU,mean-sea-surface-temperature-anomalies,Mean sea surface temperature anomalies,176,1850,2025,0.00073377,0.00733766,0.22222251,0.17282464,0.36666667,True,0.3763961,0.39107143
NU,mean-surface-temperature-anomalies,Mean surface temperature anomalies,176,1850,2025,0.00074818,0.00748184,0.20267299,0.19157346,0.16666667,False,0.35897975,0.37394343
NU,rainfall-anomalies,Rainfall anomalies,47,1979,2025,-0.10764339,-1.07643386,6.80148831,4.28777778,4.33333333,True,6.84130435,4.68843663
NU,sea-level-anomalies,Sea level anomalies,31,1993,2023,0.00491935,0.04919355,0.03560224,0.03965517,0.03333333,False,0.16306452,0.26145161
PF,mean-sea-surface-temperature-anomalies,Mean sea surface temperature anomalies,176,1850,2025,-0.00071396,-0.00713956,0.18315574,0.28345439,0.4,True,0.2311182,0.21683909
PF,mean-surface-temperature-anomalies,Mean surface temperature anomalies,176,1850,2025,-0.00092659,-0.0092659,0.27039953,0.30029605,0.26666667,False,0.28076766,0.26223586
PF,rainfall-anomalies,Rainfall anomalies,47,1979,2025,0.07797179,0.77971785,4.65532413,6.56374912,7.26666667,True,7.85342276,9.41285846
PF,sea-level-anomalies,Sea level anomalies,31,1993,2023,0.00415323,0.04153226,0.03117775,0.00949644,0.0,False,0.12685484,0.20991935
PG,mean-sea-surface-temperature-anomalies,Mean sea surface temperature anomalies,176,1850,2025,0.0006149,0.00614902,0.26343709,0.487443,0.2,False,0.41540117,0.42769921
PG,mean-surface-temperature-anomalies,Mean surface temperature anomalies,176,1850,2025,5.525e-05,0.0005525,0.24867963,0.56465876,0.2,False,0.37329243,0.37439742
PG,rainfall-anomalies,Rainfall anomalies,47,1979,2025,-0.07145005,-0.71450046,5.90508127,5.06373737,4.96666667,False,5.76961147,4.34061055
PG,sea-level-anomalies,Sea level anomalies,31,1993,2023,0.0033871,0.03387097,0.04853814,0.04660646,0.03333333,False,0.12935484,0.19709677
PN,mean-surface-temperature-anomalies,Mean surface temperature anomalies,176,1850,2025,-0.00052124,-0.00521241,0.20083716,0.19006911,0.16666667,False,0.23360335,0.22317852
PN,rainfall-anomalies,Rainfall anomalies,47,1979,2025,0.13691027,1.36910268,5.85691313,8.20880197,6.46666667,False,11.57816836,14.31637373
PW,mean-sea-surface-temperature-anomalies,Mean sea surface temperature anomalies,176,1850,2025,0.00074972,0.00749725,0.22375988,0.45155865,0.06666667,False,0.38298591,0.39798041
PW,mean-surface-temperature-anomalies,Mean surface temperature anomalies,176,1850,2025,0.00084052,0.00840524,0.2245847,0.52001505,0.06666667,False,0.38627119,0.40308166
PW,rainfall-anomalies,Rainfall anomalies,47,1979,2025,-0.10987512,-1.09875116,8.09223202,4.70956307,3.46666667,False,9.06392229,6.86641998
PW,sea-level-anomalies,Sea level anomalies,31,1993,2023,0.00169355,0.01693548,0.06345187,0.10722496,0.06666667,False,0.10822581,0.14209677
SB,mean-sea-surface-temperature-anomalies,Mean sea surface temperature anomalies,176,1850,2025,0.00060092,0.00600924,0.23799595,0.42763163,0.16666667,False,0.40444915,0.41646764
SB,mean-surface-temperature-anomalies,Mean surface temperature anomalies,176,1850,2025,0.00064517,0.00645168,0.25708347,0.43369629,0.16666667,False,0.43240535,0.44530872
SB,rainfall-anomalies,Rainfall anomalies,47,1979,2025,0.12661887,1.26618871,6.63310202,8.56959596,12.96666667,True,12.73043478,15.26281221
SB,sea-level-anomalies,Sea level anomalies,31,1993,2023,0.00310484,0.03104839,0.05376663,0.08237548,0.06666667,False,0.13604839,0.19814516
TK,mean-sea-surface-temperature-anomalies,Mean sea surface temperature anomalies,176,1850,2025,-2.003e-05,-0.00020031,0.2632269,0.26474267,0.4,True,0.3526926,0.35229199
TK,mean-surface-temperature-anomalies,Mean surface temperature anomalies,176,1850,2025,-5.965e-05,-0.00059652,0.2672299,0.25867585,0.4,True,0.35811853,0.35692549
TK,rainfall-anomalies,Rainfall anomalies,47,1979,2025,0.18933858,1.89338575,10.08623854,12.56916138,22.06666667,True,19.51424607,23.30101758
TK,sea-level-anomalies,Sea level anomalies,31,1993,2023,0.00241935,0.02419355,0.04633389,0.01691297,0.0,False,0.10806452,0.15645161
TO,mean-sea-surface-temperature-anomalies,Mean sea surface temperature anomalies,176,1850,2025,0.00058728,0.00587277,0.23714214,0.21177794,0.53333333,True,0.37250495,0.3842505
TO,mean-surface-temperature-anomalies,Mean surface temperature anomalies,176,1850,2025,0.00068589,0.0068589,0.2313346,0.21237869,0.53333333,True,0.37253577,0.38625358
TO,rainfall-anomalies,Rainfall anomalies,47,1979,2025,-0.09364015,-0.93640148,7.96864244,6.11713413,8.33333333,True,6.96956522,5.09676226
TO,sea-level-anomalies,Sea level anomalies,31,1993,2023,0.00387097,0.03870968,0.03695893,0.0136289,0.0,False,0.14,0.21741935
TV,mean-sea-surface-temperature-anomalies,Mean sea surface temperature anomalies,176,1850,2025,0.00078715,0.00787145,0.24098553,0.25243722,0.53333333,True,0.40235637,0.41809927
TV,mean-surface-temperature-anomalies,Mean surface temperature anomalies,176,1850,2025,0.00064176,0.00641757,0.24177832,0.33184336,0.7,True,0.39402157,0.4068567
TV,rainfall-anomalies,Rainfall anomalies,47,1979,2025,0.15171138,1.51711378,11.7775057,7.07276251,25.1,True,17.05217391,20.08640148
TV,sea-level-anomalies,Sea level anomalies,31,1993,2023,0.00278226,0.02782258,0.05063419,0.00199781,0.0,False,0.1225,0.17814516
VU,mean-sea-surface-temperature-anomalies,Mean sea surface temperature anomalies,176,1850,2025,0.00011358,0.00113581,0.24908719,0.31779052,0.43333333,True,0.37073355,0.37300517
VU,mean-surface-temperature-anomalies,Mean surface temperature anomalies,176,1850,2025,-0.00022364,-0.00223641,0.26461468,0.36407007,0.5,True,0.35885868,0.35438587
VU,rainfall-anomalies,Rainfall anomalies,47,1979,2025,-0.03369565,-0.33695652,8.27405501,4.61191684,28.03333333,True,8.98630897,8.31239593
VU,sea-level-anomalies,Sea level anomalies,31,1993,2023,0.00459677,0.04596774,0.04711357,0.08659004,0.06666667,False,0.14629032,0.23822581
WF,mean-sea-surface-temperature-anomalies,Mean sea surface temperature anomalies,176,1850,2025,0.00029804,0.00298041,0.20164695,0.31076109,0.2,False,0.3116597,0.31762052
WF,mean-surface-temperature-anomalies,Mean surface temperature anomalies,176,1850,2025,0.00022177,0.0022177,0.20196733,0.31478508,0.2,False,0.30744552,0.31188092
WF,rainfall-anomalies,Rainfall anomalies,47,1979,2025,0.00018501,0.00185014,7.38541167,5.77393939,6.06666667,True,9.33283996,9.33654024
WF,sea-level-anomalies,Sea level anomalies,31,1993,2023,0.00254032,0.02540323,0.0585691,0.05873016,0.03333333,False,0.11395161,0.16475806
WS,mean-sea-surface-temperature-anomalies,Mean sea surface temperature anomalies,176,1850,2025,0.00015144,0.00151442,0.2030114,0.35396458,0.33333333,False,0.30378109,0.30680993
WS,mean-surface-temperature-anomalies,Mean surface temperature anomalies,176,1850,2025,7.022e-05,0.00070218,0.20705032,0.36149062,0.43333333,True,0.29626788,0.29767224
WS,rainfall-anomalies,Rainfall anomalies,47,1979,2025,0.05225486,0.52254857,6.99824441,6.2359596,14.4,True,9.45675301,10.50185014
WS,sea-level-anomalies,Sea level anomalies,31,1993,2023,0.00290323,0.02903226,0.05710868,0.05109469,0.03333333,False,0.12193548,0.18
