dataset_slug,short_label,row_count,value_count,geography_count,total_geography_count,geography_coverage_pct,missing_geographies,year_start,year_end,year_count,observed_geography_years,possible_geography_years,geography_year_coverage_pct,units,latest_year_min,latest_year_max,latest_year_spread,coverage_caveat
population-growth,Projected population growth,792,792,22,22,100.0,,1990,2025,36,792,792,100.0,PERCENT,2025,2025,0,Returned-row coverage only; missing geography-years are not zero values or no-event years.
renewable-energy-share-in-the-total-final-energy-consumption,Renewable energy share,461,461,20,22,90.9,PN TK,2000,2023,24,461,480,96.0,PERCENT,2022,2023,1,Returned-row coverage only; missing geography-years are not zero values or no-event years.
proportion-of-population-using-safely-managed-drinking-water-services,Safely managed drinking water,430,430,19,22,86.4,GU PN TK,2000,2022,23,430,437,98.4,PERCENT,2020,2022,2,Returned-row coverage only; missing geography-years are not zero values or no-event years.
direct-disaster-economic-loss,Recorded direct disaster loss,39,39,12,22,54.5,AS CK GU MP NR NU PN TK TV WF,2007,2020,10,39,168,23.2,USD USD_MILLIONS,2013,2020,7,Returned-row coverage only; missing geography-years are not zero values or no-event years.
climate-altering-land-cover-index,Climate-altering land-cover index,681,681,22,22,100.0,,1992,2022,31,681,682,99.9,PERCENT,2022,2022,0,Returned-row coverage only; missing geography-years are not zero values or no-event years.
